,district,size,floor,registration,heating,rooms,parking,balcony,state,price
20232,Južni bulevar,76.0,5.0,True,"Klima, Centralno",3.0,False,True,Novogradnja,145000
20233,Donji Dorćol,64.0,0.0,True,Klima,3.0,False,True,Izvorno stanje,153000
20234,Vračar (Hram),80.0,3.0,False,Klima,3.0,False,True,Izvorno stanje,230000
20235,Novi Beograd Blok 25 (Arena),81.0,7.0,False,"Klima, Centralno",3.0,False,True,Izvorno stanje,177000
20270,Vračar (Centar),97.0,2.0,True,"Klima, Centralno",3.0,True,True,Standardna gradnja,275000
20271,Vračar (Centar),132.0,8.0,True,"Klima, Centralno",3.0,False,True,Standardna gradnja,300000
20272,Višnjička banja,53.0,1.0,False,Centralno,2.0,False,True,Novogradnja,69500
20273,Vračar (Centar),54.0,0.0,True,Centralno,2.0,False,False,Standardna gradnja,150000
20274,Politika ( centar ),114.0,5.0,True,Centralno,5.0,False,False,Standardna gradnja,288000
20275,Mirijevo I,40.0,1.0,True,Ostalo,2.0,False,True,Standardna gradnja,65000
20276,Mirijevo I,28.0,1.0,True,Ostalo,1.0,True,False,Novogradnja,50000
20277,Barajevo,64.0,5.0,True,Ostalo,3.0,True,False,Novogradnja,33000
20278,Barajevo,44.0,3.0,True,"Klima, Centralno",1.0,True,False,Izvorno stanje,15000
20279,Vračar (Centar),171.0,4.0,True,Klima,5.0,True,True,Standardna gradnja,560000
20280,Barajevo,49.0,5.0,True,Ostalo,3.0,True,False,Novogradnja,27000
20281,Barajevo,84.0,5.0,True,Ostalo,3.0,True,False,Novogradnja,40000
20282,Barajevo,60.0,4.0,True,"Klima, Centralno",3.0,True,False,Izvorno stanje,38000
20283,Novi Beograd Blok 23,100.0,12.0,True,"Klima, Centralno",4.0,True,True,Izvorno stanje,135000
20284,Belvil,68.0,9.0,True,Centralno,2.0,True,False,Standardna gradnja,165000
20285,Crveni krst,112.0,2.0,True,"Klima, Centralno",3.0,True,True,Standardna gradnja,320000
20286,Crveni krst,69.0,1.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,185000
20287,Novi Beograd Blok 61,72.0,2.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,133000
20288,Stari Grad,79.0,2.0,True,"Klima, Centralno",3.0,False,True,Izvorno stanje,237000
20289,Gornji Dorćol,94.0,2.0,True,Centralno,3.0,False,False,Izvorno stanje,230000
20311,Crveni krst,50.0,3.0,True,Centralno,3.0,True,False,Standardna gradnja,84000
20312,Galenika,90.0,2.0,False,Klima,3.0,True,True,Novogradnja,120000
20313,Miljakovac III,62.0,2.0,True,Ostalo,2.0,True,True,Standardna gradnja,77000
20349,Braće Jerković,50.0,1.0,False,Ostalo,2.0,True,True,Standardna gradnja,83000
20354,Vračar (Centar),38.0,2.0,False,Centralno,2.0,True,False,Standardna gradnja,85000
20390,Lion,51.0,6.0,True,Centralno,1.0,False,False,Standardna gradnja,96000
20391,Stari Grad,87.0,3.0,True,Centralno,3.0,False,True,Izvorno stanje,170000
20393,Vukov spomenik,28.0,0.0,False,Ostalo,1.0,False,False,Standardna gradnja,35900
20395,Železnik,75.0,1.0,True,Ostalo,4.0,False,True,Standardna gradnja,67900
20396,Zeleni venac,73.0,2.0,True,Centralno,2.0,False,False,Standardna gradnja,143000
20405,Kalenić pijaca,40.0,1.0,True,Centralno,1.0,False,True,Standardna gradnja,117000
20430,Karaburma,26.0,5.0,True,Ostalo,1.0,False,False,Novogradnja,33800
20433,Centar (uži),36.0,4.0,True,Ostalo,2.0,False,False,Standardna gradnja,89000
20505,Andrićev venac,67.0,1.0,True,Centralno,2.0,False,True,Standardna gradnja,230000
20507,Banovo brdo,46.0,1.0,True,Ostalo,2.0,False,True,Standardna gradnja,72000
20508,Cvetanova ćuprija,60.0,3.0,False,Ostalo,3.0,False,False,Novogradnja,72000
20511,Zvezdara,144.0,7.0,False,"Klima, Centralno",5.0,False,True,Novogradnja,284700
20544,Lekino brdo,53.0,3.0,True,Ostalo,2.0,False,True,Standardna gradnja,103000
20545,Dedinje (Beli dvor),146.0,1.0,True,Klima,4.0,True,True,Standardna gradnja,530000
20546,Stari Grad,127.0,4.0,True,Centralno,4.0,False,True,Standardna gradnja,510000
20547,Novi Beograd Blok 63,87.0,9.0,True,"Klima, Centralno",4.0,False,True,Standardna gradnja,149900
20548,Novi Beograd Blok 19a,96.0,0.0,True,Centralno,4.0,True,True,Standardna gradnja,135000
20549,Slavija,107.0,2.0,True,"Klima, Centralno",4.0,False,True,Standardna gradnja,270000
20550,Belvil,103.0,10.0,True,"Klima, Centralno",4.0,True,True,Standardna gradnja,284900
20551,Gornji Dorćol,125.0,4.0,True,"Klima, Centralno",4.0,True,True,Standardna gradnja,362500
20552,Vračar (Hram),124.0,1.0,False,Centralno,4.0,True,True,Standardna gradnja,310000
20553,Belvil,103.0,8.0,True,"Klima, Centralno",4.0,True,True,Standardna gradnja,288400
20554,Senjak,150.0,1.0,False,Centralno,4.0,False,True,Standardna gradnja,380000
20555,Stari Grad,156.0,2.0,True,Centralno,4.0,False,True,Standardna gradnja,750000
20556,Savski venac,49.0,2.0,True,Centralno,2.0,False,True,Izvorno stanje,140000
20557,Medaković III,41.0,0.0,True,Ostalo,1.0,False,False,Standardna gradnja,60000
20562,Banjica,78.0,3.0,True,"Klima, Centralno",3.0,False,True,Standardna gradnja,109000
20563,Lion,51.0,3.0,False,Centralno,2.0,False,False,Standardna gradnja,108000
20584,Novi Beograd Blok 70 (Kineski TC),88.0,1.0,True,Centralno,4.0,False,True,Standardna gradnja,160000
20594,Južni bulevar,42.0,2.0,True,"Klima, Centralno",2.0,False,True,Novogradnja,131000
20595,Hadžipopovac,49.0,2.0,True,"Klima, Centralno",2.0,True,False,Standardna gradnja,110000
20596,Novi Beograd Blok 1 (Fontana),42.0,0.0,True,"Klima, Centralno",2.0,True,False,Izvorno stanje,79500
20597,Novi Beograd Blok 25 (Arena),57.0,6.0,True,"Klima, Centralno",2.0,False,True,Standardna gradnja,137500
20598,Gornji Dorćol,38.0,1.0,True,"Klima, Centralno",2.0,False,False,Izvorno stanje,145000
20599,Mirijevo I,38.0,1.0,False,"Klima, Ostalo",2.0,True,True,Novogradnja,43000
20600,Lekino brdo,31.0,0.0,True,"Klima, Ostalo",2.0,False,False,Izvorno stanje,51000
20601,Mirijevo I,43.0,0.0,True,"Klima, Ostalo",2.0,False,True,Novogradnja,78000
20602,Vračar (Hram),137.0,3.0,True,"Klima, Centralno",4.0,True,True,Standardna gradnja,370000
20657,Slavujev venac,107.0,0.0,False,Centralno,2.0,False,True,Standardna gradnja,125000
20659,Golf naselje,162.0,1.0,True,"Klima, Centralno",6.0,False,True,Standardna gradnja,235000
20660,Bežanijska kosa III,33.0,0.0,True,Centralno,1.0,False,False,Izvorno stanje,37900
20661,Stari Grad,153.0,4.0,True,"Klima, Centralno",5.0,False,True,Standardna gradnja,350000
20662,Tašmajdan,44.0,6.0,True,Centralno,1.0,False,False,Izvorno stanje,110000
20663,Cvijićeva,36.0,5.0,True,Ostalo,1.0,False,True,Izvorno stanje,67000
20664,Stari Grad,44.0,3.0,True,Centralno,1.0,False,True,Izvorno stanje,134900
20665,Novi Beograd Blok 11c (Stari Merkator),141.0,6.0,True,Centralno,6.0,False,True,Izvorno stanje,225000
20666,Slavujev venac,29.0,0.0,True,Ostalo,1.0,False,False,Izvorno stanje,60000
20668,Centar (uži),150.0,3.0,True,"Klima, Centralno",4.0,False,True,Standardna gradnja,649000
20669,Banovo brdo,30.0,0.0,True,Centralno,1.0,False,False,Standardna gradnja,25000
